BusId,name,zone,rating
54,DPV_54,A,733.0
57,DPV_57,A,366.5
58,DPV_58,A,366.5
53,DPV_53,B,432.0
51,DPV_51,C,413.00000000000006
65,DPV_65,C,177.0
68,DPV_68,C,177.0
71,DPV_71,C,413.00000000000006
49,DPV_49,D,137.0
45,DPV_45,E,439.89000000000004
46,DPV_46,E,439.89000000000004
47,DPV_47,E,453.22
41,DPV_41,F,349.50000000000006
42,DPV_42,F,815.5
73,DPV_73,G,141.75
75,DPV_75,G,60.75
76,DPV_76,G,60.75
77,DPV_77,G,141.75
74,DPV_74,H,36.0
78,DPV_78,I,47.0
81,DPV_81,J,343.0
82,DPV_82,J,343.0
79,DPV_79,K,626.0
80,DPV_80,K,626.0
