Tech,A,B,C,D,E,F,G,H,I,J,K
Wind_OSW,0,0,0,0,0,0,0,0,0,816,1054
Wind_LBW,1441,209,1029,1036,975,0,0,0,0,0,0
UPV,1771,202,1104,0,699,427,112,0,0,0,54
DPV,1466,432,1180,137,1333,1165,405,36,47,686,1252
Storage,1360,6,1392,1405,489,106,543,0,0,353,346
