Tech,A,B,C,D,E,F,G,H,I,J,K
Wind_OSW,0,0,0,0,0,0,0,0,0,2755,2054
Wind_LBW,2114,133,2172,1768,1808,85,0,0,0,0,0
UPV,2608,2649,5408,0,5016,7104,2441,0,0,,2322
DPV,0,0,0,1685,0,0,0,234,292,761,0
Storage,56,475,1926,127,1716,1318,157,24,38,824,2408
