DateTime,Storage_37_energy_stored,Storage_37_carbon_stored,Storage_37_avg_intensity,Storage_37_charge_amount,Storage_37_discharge_amount,Storage_37_net_change,Storage_65_energy_stored,Storage_65_carbon_stored,Storage_65_avg_intensity,Storage_65_charge_amount,Storage_65_discharge_amount,Storage_65_net_change,Storage_71_energy_stored,Storage_71_carbon_stored,Storage_71_avg_intensity,Storage_71_charge_amount,Storage_71_discharge_amount,Storage_71_net_change,Storage_55_energy_stored,Storage_55_carbon_stored,Storage_55_avg_intensity,Storage_55_charge_amount,Storage_55_discharge_amount,Storage_55_net_change,Storage_45_energy_stored,Storage_45_carbon_stored,Storage_45_avg_intensity,Storage_45_charge_amount,Storage_45_discharge_amount,Storage_45_net_change,Storage_60_energy_stored,Storage_60_carbon_stored,Storage_60_avg_intensity,Storage_60_charge_amount,Storage_60_discharge_amount,Storage_60_net_change,Storage_62_energy_stored,Storage_62_carbon_stored,Storage_62_avg_intensity,Storage_62_charge_amount,Storage_62_discharge_amount,Storage_62_net_change,Storage_74_energy_stored,Storage_74_carbon_stored,Storage_74_avg_intensity,Storage_74_charge_amount,Storage_74_discharge_amount,Storage_74_net_change,Storage_51_energy_stored,Storage_51_carbon_stored,Storage_51_avg_intensity,Storage_51_charge_amount,Storage_51_discharge_amount,Storage_51_net_change,Storage_81_energy_stored,Storage_81_carbon_stored,Storage_81_avg_intensity,Storage_81_charge_amount,Storage_81_discharge_amount,Storage_81_net_change,Storage_39_energy_stored,Storage_39_carbon_stored,Storage_39_avg_intensity,Storage_39_charge_amount,Storage_39_discharge_amount,Storage_39_net_change,Storage_56_energy_stored,Storage_56_carbon_stored,Storage_56_avg_intensity,Storage_56_charge_amount,Storage_56_discharge_amount,Storage_56_net_change,Storage_78_energy_stored,Storage_78_carbon_stored,Storage_78_avg_intensity,Storage_78_charge_amount,Storage_78_discharge_amount,Storage_78_net_change,Storage_48_energy_stored,Storage_48_carbon_stored,Storage_48_avg_intensity,Storage_48_charge_amount,Storage_48_discharge_amount,Storage_48_net_change,Storage_82_energy_stored,Storage_82_carbon_stored,Storage_82_avg_intensity,Storage_82_charge_amount,Storage_82_discharge_amount,Storage_82_net_change,Storage_80_energy_stored,Storage_80_carbon_stored,Storage_80_avg_intensity,Storage_80_charge_amount,Storage_80_discharge_amount,Storage_80_net_change,Storage_57_energy_stored,Storage_57_carbon_stored,Storage_57_avg_intensity,Storage_57_charge_amount,Storage_57_discharge_amount,Storage_57_net_change,Storage_38_energy_stored,Storage_38_carbon_stored,Storage_38_avg_intensity,Storage_38_charge_amount,Storage_38_discharge_amount,Storage_38_net_change,PumpedHydro_energy_stored,PumpedHydro_carbon_stored,PumpedHydro_avg_intensity,PumpedHydro_charge_amount,PumpedHydro_discharge_amount,PumpedHydro_net_change,Storage_42_energy_stored,Storage_42_carbon_stored,Storage_42_avg_intensity,Storage_42_charge_amount,Storage_42_discharge_amount,Storage_42_net_change,Storage_77_energy_stored,Storage_77_carbon_stored,Storage_77_avg_intensity,Storage_77_charge_amount,Storage_77_discharge_amount,Storage_77_net_change,Storage_79_energy_stored,Storage_79_carbon_stored,Storage_79_avg_intensity,Storage_79_charge_amount,Storage_79_discharge_amount,Storage_79_net_change
2019-01-01T00:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6315789473684266,0.9560475247645168,0.36329805941051563,2.6315789473684266,0.0,-2.6315789473684266,140.0,50.861728317472185,0.36329805941051563,140.0,0.0,-140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,50.861728317472185,0.36329805941051563,140.0,0.0,-140.0,212.40007519419075,77.1645351366971,0.36329805941051563,212.40007519419075,0.0,-212.40007519419075,317.559058976534,115.3685898744043,0.36329805941051563,317.559058976534,0.0,-317.559058976534,206.68321921949214,75.08761245515969,0.36329805941051563,206.68321921949214,0.0,-206.68321921949214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,38.14629623810414,0.36329805941051563,105.0,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01T01:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545.0,199.54903477775477,0.3661450179408344,545.0,0.0,-545.0,12.631578947368427,4.6174977041728615,0.3655519015803514,10.0,0.0,-10.0,280.0,102.12203082918901,0.364721538675675,140.0,0.0,-140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,102.12203082918901,0.364721538675675,140.0,0.0,-140.0,185.64558508868362,67.44468080084852,0.36329805941051563,0.0,26.754490105507145,26.754490105507145,1075.0725501049264,392.72838067403364,0.3653040723955826,757.5134911283925,0.0,-757.5134911283925,737.0775519822764,269.28885494030624,0.3653467049920162,530.3943327627843,0.0,-530.3943327627843,543.0470512880487,198.83397233657982,0.3661450179408344,543.0470512880487,0.0,-543.0470512880487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,76.59152312189175,0.364721538675675,105.0,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01T02:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1090.0,397.4304734355503,0.3646151132436241,545.0,0.0,-545.0,22.631578947368425,8.248349789637,0.3644619674490767,10.0,0.0,-10.0,420.0,152.95396002568697,0.3641760952992547,140.0,0.0,-140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,152.95396002568697,0.3641760952992547,140.0,0.0,-140.0,39.072227530076134,14.194864438522785,0.3632980594105157,0.0,146.57335755860748,146.57335755860748,2119.691207329504,772.0139636838942,0.36421057983087884,1044.6186572245774,0.0,-1044.6186572245774,1325.2065362663798,482.82978985129046,0.3643430489043685,588.1289842841035,0.0,-588.1289842841035,543.0470512880487,198.83397233657982,0.3661450179408344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0,114.71547001926521,0.36417609529925465,105.0,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01T03:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1635.0,595.6465749719755,0.364309831787141,545.0,0.0,-545.0,32.631578947368425,11.885342478378746,0.36422823724063896,10.0,0.0,-10.0,420.0,152.95396002568697,0.3641760952992547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,152.95396002568697,0.3641760952992547,0.0,0.0,0.0,10.620003759709576,3.8582267568348687,0.36329805941051563,0.0,28.452223770366558,28.452223770366558,3560.0341409613584,1295.8656355738835,0.36400371015092164,1440.3429336318545,0.0,-1440.3429336318545,1958.126407727418,713.0222843576066,0.3641349616366868,632.9198714610382,0.0,-632.9198714610382,543.0470512880487,198.83397233657982,0.3661450179408344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,152.90389325105355,0.36405688869298464,105.0,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01T04:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1635.0,595.6465749719755,0.364309831787141,0.0,0.0,0.0,32.631578947368425,11.885342478378746,0.36422823724063896,0.0,0.0,0.0,420.0,152.95396002568697,0.3641760952992547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,152.95396002568697,0.3641760952992547,0.0,0.0,0.0,10.620003759709576,3.8582267568348687,0.36329805941051563,0.0,0.0,0.0,4978.394443425345,1808.9448371472881,0.3633590824721108,1418.360302463987,0.0,-1418.360302463987,2509.178289104404,912.3603924753113,0.3636092327265267,551.0518813769862,0.0,-551.0518813769862,543.0470512880487,198.83397233657982,0.3661450179408344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0,190.88670768235025,0.3635937289187624,105.0,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01T05:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1635.0,595.6465749719755,0.364309831787141,0.0,0.0,0.0,32.631578947368425,11.885342478378746,0.36422823724063896,0.0,0.0,0.0,420.0,152.95396002568697,0.3641760952992547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,152.95396002568697,0.3641760952992547,0.0,0.0,0.0,10.620003759709576,3.8582267568348687,0.36329805941051563,0.0,0.0,0.0,6086.779825132951,2211.5560455348486,0.3633376118523463,1108.385381707606,0.0,-1108.385381707606,2871.3460737403775,1043.9146441081614,0.36356280897492066,362.16778463597325,0.0,-362.16778463597325,543.0470512880487,198.83397233657982,0.3661450179408344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.0,229.027031055765,0.36353496992978573,105.0,0.0,-105.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01T06:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1635.0,595.6465749719755,0.364309831787141,0.0,0.0,0.0,32.631578947368425,11.885342478378746,0.36422823724063896,0.0,0.0,0.0,420.0,152.95396002568697,0.3641760952992547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,152.95396002568697,0.3641760952992547,0.0,0.0,0.0,10.620003759709576,3.8582267568348687,0.36329805941051563,0.0,0.0,0.0,6382.492212818416,2320.0027117639847,0.363494797080137,295.7123876854645,0.0,-295.7123876854645,2871.3460737403775,1043.9146441081614,0.36356280897492066,0.0,0.0,0.0,543.0470512880487,198.83397233657982,0.3661450179408344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0,267.5337031745231,0.3639914328905076,105.0,0.0,-105.0,26.172718358279035,9.598326516941452,0.36673021065483935,26.172718358279035,0.0,-26.172718358279035
2019-01-01T07:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1635.0,595.6465749719755,0.364309831787141,0.0,0.0,0.0,32.631578947368425,11.885342478378746,0.36422823724063896,0.0,0.0,0.0,420.0,152.95396002568697,0.3641760952992547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,152.95396002568697,0.3641760952992547,0.0,0.0,0.0,10.620003759709576,3.8582267568348687,0.36329805941051563,0.0,0.0,0.0,6382.492212818416,2320.0027117639847,0.363494797080137,0.0,0.0,0.0,2871.3460737403775,1043.9146441081614,0.36356280897492066,0.0,0.0,0.0,543.0470512880487,198.83397233657982,0.3661450179408344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0,267.5337031745231,0.3639914328905076,0.0,0.0,0.0,26.172718358279035,9.598326516941452,0.36673021065483935,0.0,0.0,0.0
2019-01-01T08:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1635.0,595.6465749719755,0.364309831787141,0.0,0.0,0.0,32.631578947368425,11.885342478378746,0.36422823724063896,0.0,0.0,0.0,420.0,152.95396002568697,0.3641760952992547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,152.95396002568697,0.3641760952992547,0.0,0.0,0.0,10.620003759709576,3.8582267568348687,0.36329805941051563,0.0,0.0,0.0,6382.492212818416,2320.0027117639847,0.363494797080137,0.0,0.0,0.0,2871.3460737403775,1043.9146441081614,0.36356280897492066,0.0,0.0,0.0,543.0470512880487,198.83397233657982,0.3661450179408344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0,267.5337031745231,0.3639914328905076,0.0,0.0,0.0,26.172718358279035,9.598326516941452,0.36673021065483935,0.0,0.0,0.0
2019-01-01T09:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,313.96369732567786,107.9290276460637,0.34376276163580716,313.96369732567786,0.0,-313.96369732567786,430.99999999999994,148.16175026503288,0.3437627616358072,430.99999999999994,0.0,-430.99999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1635.0,595.6465749719755,0.364309831787141,0.0,0.0,0.0,32.631578947368425,11.885342478378746,0.36422823724063896,0.0,0.0,0.0,420.0,152.95396002568697,0.3641760952992547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,152.95396002568697,0.3641760952992547,0.0,0.0,0.0,10.620003759709576,3.8582267568348687,0.36329805941051563,0.0,0.0,0.0,6382.492212818416,2320.0027117639847,0.363494797080137,0.0,0.0,0.0,2871.3460737403775,1043.9146441081614,0.36356280897492066,0.0,0.0,0.0,543.0470512880487,198.83397233657982,0.3661450179408344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.0,267.5337031745231,0.3639914328905076,0.0,0.0,0.0,26.172718358279035,9.598326516941452,0.36673021065483935,0.0,0.0,0.0
