hydro_power_change_mw,renewable_power_change_mw,load_addition_mw,total_emissions_change_kg_co2,num_generators_changed,datetime,mer_kg_co2_per_mwh,storage_power_change_mw,thermal_emissions_change_kg_co2,hour,thermal_power_change_mw,total_power_change_mw,storage_emissions_change_kg_co2
0.0,-0.2316991999224456,1.0,0.5780124250184079,3,2019-01-01T00:00:00.0,0.5780124250184079,0.0,0.5780124250184079,1,1.2316991999220197,0.9999999999995741,0.0
0.0,-0.23060252552627958,1.0,0.5542244708345269,4,2019-01-01T01:00:00.0,0.5542244708345269,0.0,0.5542244708345269,2,1.2306025255133197,0.9999999999870401,0.0
0.0,-0.23060252552889438,1.0,0.5542244708410357,4,2019-01-01T02:00:00.0,0.5542244708410357,0.0,0.5542244708410357,3,1.2306025255277697,0.9999999999988753,0.0
0.0,-0.23422042111099017,1.0,0.555853052391455,4,2019-01-01T03:00:00.0,0.555853052391455,0.0,0.555853052391455,4,1.2342204210957595,0.9999999999847693,0.0
0.0,-0.2306025255274733,1.0,0.5542244708379578,4,2019-01-01T04:00:00.0,0.5542244708379578,0.0,0.5542244708379578,5,1.2306025255209356,0.9999999999934623,0.0
0.0,-0.23060252552653537,1.0,0.554224470827868,4,2019-01-01T05:00:00.0,0.554224470827868,0.0,0.554224470827868,6,1.230602525498534,0.9999999999719986,0.0
0.0,-0.23169919993182475,1.0,0.5780124250242096,3,2019-01-01T06:00:00.0,0.5780124250242096,0.0,0.5780124250242096,7,1.2316991999348441,1.0000000000030194,0.0
0.045154899820403216,0.0,1.0,0.3883175932863338,4,2019-01-01T07:00:00.0,0.3883175932863338,0.0,0.3883175932863338,8,0.9548451001797247,1.000000000000128,0.0
0.0,-0.23169919992892574,1.0,0.578012425014198,3,2019-01-01T08:00:00.0,0.578012425014198,0.0,0.578012425014198,9,1.2316991999142215,0.9999999999852958,0.0
0.0,-0.2316991999235256,1.0,0.49691482705509216,3,2019-01-01T09:00:00.0,0.49691482705509216,0.0,0.49691482705509216,10,1.2316991999333666,1.000000000009841,0.0
0.0,-0.23169919992290033,1.0,0.49691482703426937,3,2019-01-01T10:00:00.0,0.49691482703426937,0.0,0.49691482703426937,11,1.231699199893944,0.9999999999710436,0.0
0.0,0.0,1.0,0.4262763340979225,1,2019-01-01T11:00:00.0,0.4262763340979225,0.0,0.4262763340979225,12,0.9999999996995435,0.9999999996995435,0.0
0.0,-0.23160675769474892,1.0,0.4970965048063351,3,2019-01-01T12:00:00.0,0.4970965048063351,0.0,0.4970965048063351,13,1.2316067576968326,1.0000000000020837,0.0
0.0,-0.23422042111621977,1.0,0.4737648119321263,4,2019-01-01T13:00:00.0,0.4737648119321263,0.0,0.4737648119321263,14,1.2342204211320986,1.0000000000158789,0.0
0.0,-0.2713824808317611,1.0,0.5811371485055626,4,2019-01-01T14:00:00.0,0.5811371485055626,0.0,0.5811371485055626,15,1.271382480832697,1.000000000000936,0.0
0.0,-0.23169919992506038,1.0,0.5780124250204801,3,2019-01-01T15:00:00.0,0.5780124250204801,0.0,0.5780124250204801,16,1.2316991999248668,0.9999999999998064,0.0
0.045154899820076366,0.0,1.0,0.38831759328374327,4,2019-01-01T16:00:00.0,0.38831759328374327,0.0,0.38831759328374327,17,0.9548451001835101,1.0000000000035865,0.0
0.04515489982011189,0.0,1.0,0.3883175932784958,4,2019-01-01T17:00:00.0,0.3883175932784958,0.0,0.3883175932784958,18,0.9548451001621601,0.999999999982272,0.0
0.04515489981892529,0.0,1.0,0.388317593281159,4,2019-01-01T18:00:00.0,0.388317593281159,0.0,0.388317593281159,19,0.9548451001729852,0.9999999999919105,0.0
0.04515489981916687,0.0,1.0,0.388317593281045,4,2019-01-01T19:00:00.0,0.388317593281045,0.0,0.388317593281045,20,0.9548451001736886,0.9999999999928555,0.0
0.04515489981912424,0.0,1.0,0.3883175932822777,4,2019-01-01T20:00:00.0,0.3883175932822777,0.0,0.3883175932822777,21,0.9548451001745413,0.9999999999936655,0.0
0.0451548998229967,0.0,1.0,0.38831759328671867,4,2019-01-01T21:00:00.0,0.38831759328671867,0.0,0.38831759328671867,22,0.954845100183336,1.0000000000063327,0.0
0.0451548998186766,0.0,1.0,0.3883175932850075,4,2019-01-01T22:00:00.0,0.3883175932850075,0.0,0.3883175932850075,23,0.954845100181327,1.0000000000000036,0.0
0.045154899820637695,0.0,1.0,0.3883175932874542,4,2019-01-01T23:00:00.0,0.3883175932874542,0.0,0.3883175932874542,24,0.9548451001806946,1.0000000000013323,0.0
0.0,0.0,1.0,0.38334686575767135,2,2019-01-02T00:00:00.0,0.38334686575767135,0.0,0.38334686575767135,25,0.999999999995822,0.999999999995822,0.0
0.0,0.0,1.0,0.42627633424722333,1,2019-01-02T01:00:00.0,0.42627633424722333,0.0,0.42627633424722333,26,1.0000000000497877,1.0000000000497877,0.0
0.0,0.0,1.0,0.42627633420976824,1,2019-01-02T02:00:00.0,0.42627633420976824,0.0,0.42627633420976824,27,0.999999999961922,0.999999999961922,0.0
0.0,0.0,1.0,0.38334686575588495,2,2019-01-02T03:00:00.0,0.38334686575588495,0.0,0.38334686575588495,28,0.9999999999916298,0.9999999999916298,0.0
0.0,0.0,1.0,0.38334686575498594,2,2019-01-02T04:00:00.0,0.38334686575498594,0.0,0.38334686575498594,29,0.9999999999899245,0.9999999999899245,0.0
0.0,0.0,1.0,0.38334686576464405,2,2019-01-02T05:00:00.0,0.38334686576464405,0.0,0.38334686576464405,30,1.0000000000100897,1.0000000000100897,0.0
0.0,0.0,1.0,0.43332828655360256,2,2019-01-02T06:00:00.0,0.43332828655360256,0.0,0.43332828655360256,31,1.00000000001004,1.00000000001004,0.0
0.0,0.0,1.0,0.4172866733707434,2,2019-01-02T07:00:00.0,0.4172866733707434,0.0,0.4172866733707434,32,0.9999999999751026,0.9999999999751026,0.0
0.0,0.0,1.0,0.4333282865471686,2,2019-01-02T08:00:00.0,0.4333282865471686,0.0,0.4333282865471686,33,0.9999999999947207,0.9999999999947207,0.0
0.0,0.0,1.0,0.4615079944398309,2,2019-01-02T09:00:00.0,0.4615079944398309,0.0,0.4615079944398309,34,0.9999999999977449,0.9999999999977449,0.0
0.0,0.0,1.0,0.4615079944425054,2,2019-01-02T10:00:00.0,0.4615079944425054,0.0,0.4615079944425054,35,1.000000000002454,1.000000000002454,0.0
0.0,0.0,1.0,0.46150799444222484,2,2019-01-02T11:00:00.0,0.46150799444222484,0.0,0.46150799444222484,36,1.0000000000024496,1.0000000000024496,0.0
0.0,0.0,1.0,0.4063741573305437,2,2019-01-02T12:00:00.0,0.4063741573305437,0.0,0.4063741573305437,37,0.9999999999891322,0.9999999999891322,0.0
