DateTime,mer_kg_co2_per_mwh,thermal_power_change_mw,thermal_emissions_change_kg_co2,net_storage_change_mw,storage_emissions_change_kg_co2
2019-01-03T08:00:00.0,0.0,0.0,0.0,1.972466634470038e-11,0.0
2019-01-03T09:00:00.0,0.0,0.0,0.0,1.688249540165998e-11,1.3386625141720288e-11
2019-01-03T10:00:00.0,0.0,0.0,0.0,-3.871036824421026e-11,-3.069544618483633e-11
2019-01-03T11:00:00.0,0.0,0.0,0.0,-4.3951331463176757e-10,-3.482227839413099e-10
2019-01-03T12:00:00.0,0.0,0.0,0.0,-7.048583938740194e-12,-5.5706550483591855e-12
2019-01-03T13:00:00.0,0.0,0.0,0.0,-6.0822458181064576e-12,-4.831690603168681e-12
2019-01-03T14:00:00.0,0.0,0.0,0.0,0.0,0.0
2019-01-03T15:00:00.0,0.0,0.0,0.0,-1.9895196601282805e-13,-1.7053025658242404e-13
2019-01-03T16:00:00.0,0.0,0.0,0.0,-2.7966962079517543e-11,0.0
2019-01-03T17:00:00.0,0.0,0.0,0.0,1.0459189070388675e-11,0.0
2019-01-03T18:00:00.0,0.0,0.0,0.0,-9.606537787476555e-11,0.0
2019-01-03T19:00:00.0,0.0,0.0,0.0,2.2737367544323206e-11,0.0
2019-01-03T20:00:00.0,0.0,0.0,0.0,-1.944044925039634e-11,0.0
2019-01-03T21:00:00.0,0.0,0.0,0.0,-5.343281372915953e-12,0.0
2019-01-03T22:00:00.0,0.0,0.0,0.0,0.0,0.0
2019-01-03T23:00:00.0,0.0,0.0,0.0,0.0,0.0
2019-01-04T00:00:00.0,0.426276334226,-1.0000000000174758,-0.4262763342334495,0.0,0.0
2019-01-04T01:00:00.0,0.0,0.0,0.0,2.4556356947869062e-11,1.944044925039634e-11
2019-01-04T02:00:00.0,0.0,0.0,0.0,-1.77351466845721e-11,-1.3869794202037156e-11
2019-01-04T03:00:00.0,0.0,0.0,0.0,-1.1368683772161603e-11,-8.86757334228605e-12
2019-01-04T04:00:00.0,0.0,0.0,0.0,7.958078640513122e-12,6.366462912410498e-12
2019-01-04T05:00:00.0,0.0,0.0,0.0,2.5011104298755527e-11,1.9895196601282805e-11
2019-01-04T06:00:00.0,0.0,0.0,0.0,1.4210854715202004e-11,1.1254996934439987e-11
2019-01-04T07:00:00.0,0.0,0.0,0.0,0.0,0.0
2019-01-04T08:00:00.0,0.0,0.0,0.0,-5.8903992794512305e-12,-4.668265773943858e-12
2019-01-04T09:00:00.0,0.0,0.0,0.0,3.1027980185172055e-10,2.4581936486356426e-10
2019-01-04T10:00:00.0,0.0,0.0,0.0,-2.2396307031158358e-11,-1.7749357539287303e-11
2019-01-04T11:00:00.0,0.0,0.0,0.0,-2.113438313244842e-10,-1.674607119639404e-10
2019-01-04T12:00:00.0,0.0,0.0,0.0,0.0,0.0
2019-01-04T13:00:00.0,0.0,0.0,0.0,-1.4074430509936064e-10,-1.1152678780490533e-10
2019-01-04T14:00:00.0,0.0,0.0,0.0,1.2567369367388892e-10,9.956835356206284e-11
2019-01-04T15:00:00.0,0.0,0.0,0.0,8.86757334228605e-12,7.02016222930979e-12
2019-01-04T16:00:00.0,0.0,0.0,0.0,7.844391802791506e-12,0.0
2019-01-04T17:00:00.0,0.0,-223.86928706742114,-85.5901828225187,223.8692870675536,0.0
2019-01-04T18:00:00.0,0.0,-89.13071293211097,-34.07664407607339,89.13071292637005,0.0
2019-01-04T19:00:00.0,0.0,0.0,0.0,1.8417267710901797e-11,0.0
2019-01-04T20:00:00.0,0.0,313.0,119.66682689877098,-313.00000000000546,0.0
2019-01-04T21:00:00.0,0.0,0.0,0.0,-1.4080114851822145e-10,0.0
2019-01-04T22:00:00.0,0.0,0.0,0.0,-1.1937117960769683e-11,0.0
2019-01-04T23:00:00.0,0.0,0.0,0.0,7.955236469570082e-10,0.0
2019-01-05T00:00:00.0,0.38275148714192037,-0.9999999999828617,-0.38275148713536067,0.0,0.0
2019-01-05T01:00:00.0,0.0,0.0,0.0,8.263612016889965e-12,6.5494276668687235e-12
2019-01-05T02:00:00.0,0.0,0.0,0.0,-1.2846612662542611e-11,-1.0174971976084635e-11
2019-01-05T03:00:00.0,0.0,0.0,0.0,2.8421709430404007e-11,2.262368070660159e-11
2019-01-05T04:00:00.0,0.0,294.6229628060011,96.03153253645566,-294.6229628060046,-96.03153253645678
2019-01-05T05:00:00.0,0.0,-294.6229628060885,-96.03153253648414,294.6229628060826,96.03153253648225
2019-01-05T06:00:00.0,0.0,0.0,0.0,-3.888089850079268e-11,-3.0809133022557944e-11
2019-01-05T07:00:00.0,0.0,0.0,0.0,0.0,0.0
2019-01-05T08:00:00.0,0.0,0.0,0.0,0.0,0.0
2019-01-05T09:00:00.0,0.0,0.0,0.0,0.0,0.0
2019-01-05T10:00:00.0,0.0,0.0,0.0,0.0,0.0
2019-01-05T11:00:00.0,0.0,0.0,0.0,0.0,0.0
2019-01-05T12:00:00.0,0.0,0.0,0.0,0.0,0.0
2019-01-05T13:00:00.0,0.0,0.0,0.0,0.0,0.0
2019-01-05T14:00:00.0,0.0,0.0,0.0,0.0,0.0
2019-01-05T15:00:00.0,0.0,0.0,0.0,-1.2121859072067309e-11,-9.592326932761353e-12
2019-01-05T16:00:00.0,0.0,0.0,0.0,-1.624300693947589e-11,0.0
2019-01-05T17:00:00.0,0.0,0.0,0.0,5.115907697472721e-12,0.0
2019-01-05T18:00:00.0,0.0,0.0,0.0,-7.321432349272072e-11,0.0
2019-01-05T19:00:00.0,0.0,0.0,0.0,-3.2173375075217336e-11,0.0
2019-01-05T20:00:00.0,0.0,0.0,0.0,7.503331289626658e-12,0.0
2019-01-05T21:00:00.0,0.0,0.0,0.0,4.888534022029489e-11,0.0
2019-01-05T22:00:00.0,0.0,0.0,0.0,0.0,0.0
2019-01-05T23:00:00.0,0.0,0.0,0.0,-3.922195901395753e-12,0.0
2019-01-06T00:00:00.0,0.4478179747946819,-0.39666356345796316,-0.17763307366258524,-0.6033364367540628,-0.2701849012270543
2019-01-06T01:00:00.0,0.0,0.0,0.0,-9.129053069045767e-11,-7.23616722098086e-11
2019-01-06T02:00:00.0,0.0,0.0,0.0,-7.844391802791506e-12,-6.252776074688882e-12
2019-01-06T03:00:00.0,0.0,0.0,0.0,-2.8421709430404007e-12,-2.1600499167107046e-12
2019-01-06T04:00:00.0,0.0,0.0,0.0,1.2846612662542611e-11,1.0174971976084635e-11
2019-01-06T05:00:00.0,0.0,0.0,0.0,-3.4282265914953314e-10,-2.715978553169407e-10
2019-01-06T06:00:00.0,0.0,0.0,0.0,0.0,0.0
2019-01-06T07:00:00.0,0.0,0.0,0.0,-1.7746515368344262e-10,0.0
2019-01-06T08:00:00.0,0.0,0.0,0.0,0.0,0.0
2019-01-06T09:00:00.0,0.0,0.0,0.0,3.8460257201222703e-10,3.0473756851279177e-10
2019-01-06T10:00:00.0,0.0,0.0,0.0,0.0,0.0
2019-01-06T11:00:00.0,0.0,0.0,0.0,0.0,0.0
2019-01-06T12:00:00.0,0.0,0.0,0.0,7.105427357601002e-14,5.684341886080802e-14
2019-01-06T13:00:00.0,0.0,0.0,0.0,-5.684341886080801e-13,-4.547473508864641e-13
2019-01-06T14:00:00.0,0.0,0.0,0.0,0.0,0.0
2019-01-06T15:00:00.0,0.0,0.0,0.0,0.0,0.0
2019-01-06T16:00:00.0,0.0,0.0,0.0,0.0,0.0
2019-01-06T17:00:00.0,0.0,0.0,0.0,-2.8541080610011704e-10,0.0
2019-01-06T18:00:00.0,0.0,0.0,0.0,-6.320988177321851e-11,0.0
2019-01-06T19:00:00.0,0.0,-286.0,-97.232427346912,285.99999999999886,0.0
2019-01-06T20:00:00.0,0.0,-0.5731696152238897,-0.19486249290109914,0.5731696150927519,0.0
2019-01-06T21:00:00.0,0.0,286.0,97.232427346912,-286.00000000001705,0.0
2019-01-06T22:00:00.0,0.0,0.0,0.0,0.0,0.0
2019-01-06T23:00:00.0,0.0,0.0,0.0,0.0,0.0
2019-01-07T00:00:00.0,0.41012697464500497,-0.37124691167171875,-0.15225837273022155,-0.6287530883240322,-0.25786860191304023
2019-01-07T01:00:00.0,0.0,312.99999999999926,119.6668268987707,-312.9999999999959,-119.66682689876941
2019-01-07T02:00:00.0,0.0,0.0,0.0,-4.661160346586257e-11,-3.694822225952521e-11
2019-01-07T03:00:00.0,0.0,83.65688272082217,31.983877646784062,-83.65688272080735,-31.983877646778367
2019-01-07T04:00:00.0,0.0,0.0,0.0,-5.775291356258094e-11,-4.5702108764089644e-11
2019-01-07T05:00:00.0,0.0,-0.27812452157611744,-0.11406636860860107,0.2781245197052911,0.11406636784132475
2019-01-07T06:00:00.0,0.0,-91.37268503808383,-34.933799628524916,91.3726850380761,34.93379962852197
2019-01-07T07:00:00.0,0.0,0.17493698774053712,0.06331332770491194,-0.17493698580965056,-0.02122493109225213
2019-01-07T08:00:00.0,0.0,0.0,0.0,9.957105362445873e-9,7.888445452408632e-9
2019-01-07T09:00:00.0,0.0,-34.45848930038403,-13.174243048888842,34.45848929354316,13.174243046273427
2019-01-07T10:00:00.0,0.0,0.0,0.0,0.0,0.0
2019-01-07T11:00:00.0,0.0,0.0,0.0,0.0,0.0
2019-01-07T12:00:00.0,0.0,-270.877311332809,-103.56239081810781,270.87731133290026,103.56239081814272
2019-01-07T13:00:00.0,0.0,0.0,0.0,2.0250467969162855e-11,1.6044054973463062e-11
2019-01-07T14:00:00.0,0.0,0.0,0.0,0.0,0.0
2019-01-07T15:00:00.0,0.0,0.0,0.0,0.0,0.0
2019-01-07T16:00:00.0,0.0,0.0,0.0,0.0,0.0
2019-01-07T17:00:00.0,0.0,0.0,0.0,1.3869794202037156e-11,0.0
2019-01-07T18:00:00.0,0.0,0.0,0.0,-6.912159733474255e-11,0.0
2019-01-07T19:00:00.0,0.0,-0.45607906096662987,-0.18356473025230455,0.456079060980926,0.0
2019-01-07T20:00:00.0,0.0,0.0,0.0,8.424194675171748e-11,0.0
2019-01-07T21:00:00.0,0.0,0.0,0.0,-4.106937012693379e-11,0.0
2019-01-07T22:00:00.0,0.0,0.0,0.0,0.0,0.0
2019-01-07T23:00:00.0,0.0,0.0,0.0,0.0,0.0
2019-01-08T00:00:00.0,0.4262763342259944,-0.9999999997893028,-0.4262763341361847,-3.979039320256561e-11,-1.696065510259359e-11
2019-01-08T01:00:00.0,0.0,0.0,0.0,5.6843418860808015e-12,4.661160346586257e-12
2019-01-08T02:00:00.0,0.0,0.0,0.0,1.8189894035458565e-11,1.432454155292362e-11
2019-01-08T03:00:00.0,0.0,0.0,0.0,3.78690856450703e-10,3.000195647473447e-10
2019-01-08T04:00:00.0,0.0,0.0,0.0,0.0,0.0
2019-01-08T05:00:00.0,0.0,0.0,0.0,-4.774847184307873e-12,-3.637978807091713e-12
2019-01-08T06:00:00.0,0.0,0.0,0.0,-1.4097167877480388e-11,-1.1254996934439987e-11
2019-01-08T07:00:00.0,0.0,0.0,0.0,-4.497024974625674e-10,3.6550318327499554e-11
2019-01-08T08:00:00.0,0.0,0.0,0.0,-6.391474016709253e-10,0.0
2019-01-08T09:00:00.0,0.0,0.0,0.0,-4.831690603168681e-11,-3.8255620893323794e-11
2019-01-08T10:00:00.0,0.0,0.0,0.0,5.286437954055145e-12,4.206412995699793e-12
2019-01-08T11:00:00.0,0.0,-36.74999999970055,-15.677095039061758,36.7499999997394,0.0
